participant_id,session_id,trial,value_0,value_1,prediction_error
P001,1,525,0.150352812,-0.150352812,0.849647188
P001,1,526,0.111534321,-0.111534321,0.888465679
P001,1,527,0.082738091,0.917261909,0.917261909
P001,1,528,0.319559226,-0.319559226,0.680440774
P001,1,529,0.23705457,-0.23705457,0.76294543
P001,1,530,0.175851186,-0.175851186,0.824148814
P001,1,531,0.130449456,-0.130449456,0.869550544
P001,1,532,0.096769667,-0.096769667,0.903230333
P001,1,533,0.071785415,0.928214585,0.928214585
P001,1,534,0.311434341,0.688565659,0.688565659
P001,1,535,0.489210065,-0.489210065,0.510789935
P001,1,536,0.362904502,-0.362904502,0.637095498
P001,1,537,0.269208846,-0.269208846,0.730791154
